Fixed Point: 4f8351324f8351324f8351324f835132 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 6bf47b326bf47b326bf47b326bf47b32 | Rounds: 12 | Key: 88888888888888888888888888888888
Fixed Point: 4ed4f5334ed4f5334ed4f5334ed4f533 | Rounds: 40 | Key: 88888888888888888888888888888888
Fixed Point: 34343434343434343434343434343434 | Rounds: 8 | Key: 88888888888888888888888888888888
Fixed Point: 35353535353535353535353535353535 | Rounds: 41 | Key: 88888888888888888888888888888888
Fixed Point: 36363636363636363636363636363636 | Rounds: 14 | Key: 88888888888888888888888888888888
Fixed Point: 945fd636945fd636945fd636945fd636 | Rounds: 20 | Key: 88888888888888888888888888888888
Fixed Point: 40cb973740cb973740cb973740cb9737 | Rounds: 40 | Key: 88888888888888888888888888888888
Fixed Point: 32c3c33732c3c33732c3c33732c3c337 | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: eeb7ba38eeb7ba38eeb7ba38eeb7ba38 | Rounds: 40 | Key: 88888888888888888888888888888888
Fixed Point: 1f77db381f77db381f77db381f77db38 | Rounds: 36 | Key: 88888888888888888888888888888888
Fixed Point: 1cf531391cf531391cf531391cf53139 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: cec8543acec8543acec8543acec8543a | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: d9f70d3bd9f70d3bd9f70d3bd9f70d3b | Rounds: 2 | Key: 88888888888888888888888888888888
Fixed Point: ee3bee3bee3bee3bee3bee3bee3bee3b | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 6446843c6446843c6446843c6446843c | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: cf00023ecf00023ecf00023ecf00023e | Rounds: 20 | Key: 88888888888888888888888888888888
Fixed Point: fda7523efda7523efda7523efda7523e | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: cb973740cb973740cb973740cb973740 | Rounds: 40 | Key: 88888888888888888888888888888888
Fixed Point: 40404040404040404040404040404040 | Rounds: 41 | Key: 88888888888888888888888888888888
Fixed Point: 0c24bb400c24bb400c24bb400c24bb40 | Rounds: 20 | Key: 88888888888888888888888888888888
Fixed Point: 79c6c14079c6c14079c6c14079c6c140 | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: 22766341227663412276634122766341 | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: e21d9541e21d9541e21d9541e21d9541 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 57f1e34157f1e34157f1e34157f1e341 | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: 50425042504250425042504250425042 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: cc42cc42cc42cc42cc42cc42cc42cc42 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 8390cf428390cf428390cf428390cf42 | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: 66e7ef4266e7ef4266e7ef4266e7ef42 | Rounds: 20 | Key: 88888888888888888888888888888888
Fixed Point: dec61843dec61843dec61843dec61843 | Rounds: 20 | Key: 88888888888888888888888888888888
Fixed Point: 44444444444444444444444444444444 | Rounds: 24 | Key: 88888888888888888888888888888888
Fixed Point: 87be6a4487be6a4487be6a4487be6a44 | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: f044f044f044f044f044f044f044f044 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: e245e245e245e245e245e245e245e245 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 843c6446843c6446843c6446843c6446 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 9d25a5469d25a5469d25a5469d25a546 | Rounds: 4 | Key: 88888888888888888888888888888888
Fixed Point: cc619749cc619749cc619749cc619749 | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: 4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a | Rounds: 24 | Key: 88888888888888888888888888888888
Fixed Point: e32fae4ae32fae4ae32fae4ae32fae4a | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: 0d7f154d0d7f154d0d7f154d0d7f154d | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: c84dc84dc84dc84dc84dc84dc84dc84d | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 5776d64d5776d64d5776d64d5776d64d | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: 82c2104e82c2104e82c2104e82c2104e | Rounds: 20 | Key: 88888888888888888888888888888888
Fixed Point: d4f5334ed4f5334ed4f5334ed4f5334e | Rounds: 40 | Key: 88888888888888888888888888888888
Fixed Point: 8351324f8351324f8351324f8351324f | Rounds: 28 | Key: 88888888888888888888888888888888
