Fixed Point: 194c194c194c194c194c194c194c194c | Rounds: 9 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: cfffba4ccfffba4ccfffba4ccfffba4c | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: d34cd34cd34cd34cd34cd34cd34cd34c | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: d692424dd692424dd692424dd692424d | Rounds: 4 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 504d504d504d504d504d504d504d504d | Rounds: 9 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 514e514e514e514e514e514e514e514e | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 3be6724e3be6724e3be6724e3be6724e | Rounds: 18 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: cced3050cced3050cced3050cced3050 | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 4d504d504d504d504d504d504d504d50 | Rounds: 9 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 79534a5179534a5179534a5179534a51 | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 4e514e514e514e514e514e514e514e51 | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 62a15e5262a15e5262a15e5262a15e52 | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 4a5179534a5179534a5179534a517953 | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 08215c5508215c5508215c5508215c55 | Rounds: 18 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: d9656d56d9656d56d9656d56d9656d56 | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: b856b856b856b856b856b856b856b856 | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: c356c356c356c356c356c356c356c356 | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: ce56ce56ce56ce56ce56ce56ce56ce56 | Rounds: 22 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 99fef05799fef05799fef05799fef057 | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 9b841f5c9b841f5c9b841f5c9b841f5c | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 5508215c5508215c5508215c5508215c | Rounds: 18 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d | Rounds: 21 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 5262a15e5262a15e5262a15e5262a15e | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 61616161616161616161616161616161 | Rounds: 21 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 3a623a623a623a623a623a623a623a62 | Rounds: 22 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: a15e5262a15e5262a15e5262a15e5262 | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 2b632b632b632b632b632b632b632b63 | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 63636363636363636363636363636363 | Rounds: 3 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 701e8f63701e8f63701e8f63701e8f63 | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: d6ef9b63d6ef9b63d6ef9b63d6ef9b63 | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: bd63bd63bd63bd63bd63bd63bd63bd63 | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 030bc764030bc764030bc764030bc764 | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: d219da64d219da64d219da64d219da64 | Rounds: 2 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 6d56d9656d56d9656d56d9656d56d965 | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 25662566256625662566256625662566 | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 68f6b56668f6b56668f6b56668f6b566 | Rounds: 18 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 3bf2e6663bf2e6663bf2e6663bf2e666 | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 31270767312707673127076731270767 | Rounds: 4 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
