Fixed Point: 829c9168829c9168829c9168829c9168 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: b888656ab888656ab888656ab888656a | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 566b566b566b566b566b566b566b566b | Rounds: 26 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 74d8486c74d8486c74d8486c74d8486c | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 19721972197219721972197219721972 | Rounds: 26 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 38bc2b7338bc2b7338bc2b7338bc2b73 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: d8486c74d8486c74d8486c74d8486c74 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: e2b93077e2b93077e2b93077e2b93077 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: e578e578e578e578e578e578e578e578 | Rounds: 10 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 59405579594055795940557959405579 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: dc7bdc7bdc7bdc7bdc7bdc7bdc7bdc7b | Rounds: 2 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 1e7c1e7c1e7c1e7c1e7c1e7c1e7c1e7c | Rounds: 1 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 3f47827e3f47827e3f47827e3f47827e | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 067f067f067f067f067f067f067f067f | Rounds: 26 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 0a810a810a810a810a810a810a810a81 | Rounds: 26 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: ec032c82ec032c82ec032c82ec032c82 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 7e3f47827e3f47827e3f47827e3f4782 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 9c9168829c9168829c9168829c916882 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 0b850b850b850b850b850b850b850b85 | Rounds: 38 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: d586d586d586d586d586d586d586d586 | Rounds: 38 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 656ab888656ab888656ab888656ab888 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: a2b7b98ea2b7b98ea2b7b98ea2b7b98e | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 528f528f528f528f528f528f528f528f | Rounds: 38 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 68829c9168829c9168829c9168829c91 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 1d951d951d951d951d951d951d951d95 | Rounds: 38 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 365e0f96365e0f96365e0f96365e0f96 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 2d962d962d962d962d962d962d962d96 | Rounds: 38 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 96969696969696969696969696969696 | Rounds: 4 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 9f979f979f979f979f979f979f979f97 | Rounds: 38 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: acfea99aacfea99aacfea99aacfea99a | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 529c529c529c529c529c529c529c529c | Rounds: 26 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 9168829c9168829c9168829c9168829c | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 509e509e509e509e509e509e509e509e | Rounds: 26 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 979f979f979f979f979f979f979f979f | Rounds: 38 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: b7b98ea2b7b98ea2b7b98ea2b7b98ea2 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 4bbceca24bbceca24bbceca24bbceca2 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 55a355a355a355a355a355a355a355a3 | Rounds: 2 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: b0a4b0a4b0a4b0a4b0a4b0a4b0a4b0a4 | Rounds: 2 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
