Fixed Point: 5f925eac5f925eac5f925eac5f925eac | Rounds: 43 | Key: 60606060606060606060606060606060
Fixed Point: f7105facf7105facf7105facf7105fac | Rounds: 4 | Key: 60606060606060606060606060606060
Fixed Point: 4fb34fb34fb34fb34fb34fb34fb34fb3 | Rounds: 42 | Key: 60606060606060606060606060606060
Fixed Point: a1b3a1b3a1b3a1b3a1b3a1b3a1b3a1b3 | Rounds: 33 | Key: 60606060606060606060606060606060
Fixed Point: b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3 | Rounds: 34 | Key: 60606060606060606060606060606060
Fixed Point: ceb4ceb4ceb4ceb4ceb4ceb4ceb4ceb4 | Rounds: 31 | Key: 60606060606060606060606060606060
Fixed Point: 421349b9421349b9421349b9421349b9 | Rounds: 13 | Key: 60606060606060606060606060606060
Fixed Point: babababababababababababababababa | Rounds: 20 | Key: 60606060606060606060606060606060
Fixed Point: bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd | Rounds: 28 | Key: 60606060606060606060606060606060
Fixed Point: 177463be177463be177463be177463be | Rounds: 15 | Key: 60606060606060606060606060606060
Fixed Point: 1efe28c11efe28c11efe28c11efe28c1 | Rounds: 25 | Key: 60606060606060606060606060606060
Fixed Point: c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2 | Rounds: 16 | Key: 60606060606060606060606060606060
Fixed Point: 32c432c432c432c432c432c432c432c4 | Rounds: 39 | Key: 60606060606060606060606060606060
Fixed Point: 889ad7c5889ad7c5889ad7c5889ad7c5 | Rounds: 37 | Key: 60606060606060606060606060606060
Fixed Point: e91d59c9e91d59c9e91d59c9e91d59c9 | Rounds: 40 | Key: 60606060606060606060606060606060
Fixed Point: c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9 | Rounds: 4 | Key: 60606060606060606060606060606060
Fixed Point: db5c20cadb5c20cadb5c20cadb5c20ca | Rounds: 12 | Key: 60606060606060606060606060606060
Fixed Point: 63cb63cb63cb63cb63cb63cb63cb63cb | Rounds: 24 | Key: 60606060606060606060606060606060
Fixed Point: 77cc77cc77cc77cc77cc77cc77cc77cc | Rounds: 35 | Key: 60606060606060606060606060606060
Fixed Point: 58cd58cd58cd58cd58cd58cd58cd58cd | Rounds: 14 | Key: 60606060606060606060606060606060
Fixed Point: 00ce00ce00ce00ce00ce00ce00ce00ce | Rounds: 39 | Key: 60606060606060606060606060606060
Fixed Point: b4ceb4ceb4ceb4ceb4ceb4ceb4ceb4ce | Rounds: 31 | Key: 60606060606060606060606060606060
Fixed Point: 3dd13dd13dd13dd13dd13dd13dd13dd1 | Rounds: 46 | Key: 60606060606060606060606060606060
Fixed Point: fa4188d4fa4188d4fa4188d4fa4188d4 | Rounds: 18 | Key: 60606060606060606060606060606060
Fixed Point: d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4 | Rounds: 43 | Key: 60606060606060606060606060606060
Fixed Point: 1dd71dd71dd71dd71dd71dd71dd71dd7 | Rounds: 29 | Key: 60606060606060606060606060606060
Fixed Point: c5889ad7c5889ad7c5889ad7c5889ad7 | Rounds: 37 | Key: 60606060606060606060606060606060
Fixed Point: 334d70d9334d70d9334d70d9334d70d9 | Rounds: 15 | Key: 60606060606060606060606060606060
Fixed Point: 50db50db50db50db50db50db50db50db | Rounds: 32 | Key: 60606060606060606060606060606060
Fixed Point: 5c20cadb5c20cadb5c20cadb5c20cadb | Rounds: 12 | Key: 60606060606060606060606060606060
Fixed Point: 7cdd7cdd7cdd7cdd7cdd7cdd7cdd7cdd | Rounds: 10 | Key: 60606060606060606060606060606060
Fixed Point: 93464cde93464cde93464cde93464cde | Rounds: 42 | Key: 60606060606060606060606060606060
Fixed Point: 4de14de14de14de14de14de14de14de1 | Rounds: 19 | Key: 60606060606060606060606060606060
Fixed Point: e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3 | Rounds: 49 | Key: 60606060606060606060606060606060
Fixed Point: 53e753e753e753e753e753e753e753e7 | Rounds: 24 | Key: 60606060606060606060606060606060
Fixed Point: 8ae78ae78ae78ae78ae78ae78ae78ae7 | Rounds: 41 | Key: 60606060606060606060606060606060
Fixed Point: 9d7273e89d7273e89d7273e89d7273e8 | Rounds: 20 | Key: 60606060606060606060606060606060
Fixed Point: 1d59c9e91d59c9e91d59c9e91d59c9e9 | Rounds: 40 | Key: 60606060606060606060606060606060
Fixed Point: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9 | Rounds: 38 | Key: 60606060606060606060606060606060
Fixed Point: 666c2aec666c2aec666c2aec666c2aec | Rounds: 23 | Key: 60606060606060606060606060606060
Fixed Point: f9ecf9ecf9ecf9ecf9ecf9ecf9ecf9ec | Rounds: 17 | Key: 60606060606060606060606060606060
Fixed Point: eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee | Rounds: 42 | Key: 60606060606060606060606060606060
Fixed Point: 95f395f395f395f395f395f395f395f3 | Rounds: 5 | Key: 60606060606060606060606060606060
Fixed Point: 12358df412358df412358df412358df4 | Rounds: 18 | Key: 60606060606060606060606060606060
Fixed Point: f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4 | Rounds: 16 | Key: 60606060606060606060606060606060
Fixed Point: 105facf7105facf7105facf7105facf7 | Rounds: 4 | Key: 60606060606060606060606060606060
Fixed Point: ecf9ecf9ecf9ecf9ecf9ecf9ecf9ecf9 | Rounds: 17 | Key: 60606060606060606060606060606060
Fixed Point: 4188d4fa4188d4fa4188d4fa4188d4fa | Rounds: 18 | Key: 60606060606060606060606060606060
Fixed Point: 68fc68fc68fc68fc68fc68fc68fc68fc | Rounds: 28 | Key: 60606060606060606060606060606060
Fixed Point: 28c11efe28c11efe28c11efe28c11efe | Rounds: 25 | Key: 60606060606060606060606060606060
Fixed Point: 5f005f005f005f005f005f005f005f00 | Rounds: 45 | Key: 61616161616161616161616161616161
