Fixed Point: 3bf93bf93bf93bf93bf93bf93bf93bf9 | Rounds: 31 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: c2fcc2fcc2fcc2fcc2fcc2fcc2fcc2fc | Rounds: 10 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 79381bff79381bff79381bff79381bff | Rounds: 6 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 03030303030303030303030303030303 | Rounds: 3 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 7fab62037fab62037fab62037fab6203 | Rounds: 30 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: d3ab6604d3ab6604d3ab6604d3ab6604 | Rounds: 31 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 2b072b072b072b072b072b072b072b07 | Rounds: 48 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 31ffe00731ffe00731ffe00731ffe007 | Rounds: 40 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 48b8b10948b8b10948b8b10948b8b109 | Rounds: 25 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 3b0a3b0a3b0a3b0a3b0a3b0a3b0a3b0a | Rounds: 30 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: d50ed50ed50ed50ed50ed50ed50ed50e | Rounds: 2 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 46413d1146413d1146413d1146413d11 | Rounds: 8 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 29c5781429c5781429c5781429c57814 | Rounds: 30 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 7a147a147a147a147a147a147a147a14 | Rounds: 35 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 15151515151515151515151515151515 | Rounds: 22 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 7c157c157c157c157c157c157c157c15 | Rounds: 39 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 18181818181818181818181818181818 | Rounds: 9 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e | Rounds: 6 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 20202020202020202020202020202020 | Rounds: 20 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 22222222222222222222222222222222 | Rounds: 21 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: fd22fd22fd22fd22fd22fd22fd22fd22 | Rounds: 17 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 61246124612461246124612461246124 | Rounds: 28 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 25252525252525252525252525252525 | Rounds: 45 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: bd4e2726bd4e2726bd4e2726bd4e2726 | Rounds: 32 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 26bd4e2726bd4e2726bd4e2726bd4e27 | Rounds: 32 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: c5781429c5781429c5781429c5781429 | Rounds: 30 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 9f299f299f299f299f299f299f299f29 | Rounds: 27 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 072b072b072b072b072b072b072b072b | Rounds: 48 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: aa57cf2faa57cf2faa57cf2faa57cf2f | Rounds: 2 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: ffe00731ffe00731ffe00731ffe00731 | Rounds: 40 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 91319131913191319131913191319131 | Rounds: 44 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 32323232323232323232323232323232 | Rounds: 41 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 78327832783278327832783278327832 | Rounds: 41 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 33333333333333333333333333333333 | Rounds: 10 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 56e7da3356e7da3356e7da3356e7da33 | Rounds: 7 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 34343434343434343434343434343434 | Rounds: 47 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
