Fixed Point: 96095c7196095c7196095c7196095c71 | Rounds: 28 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 61261a7461261a7461261a7461261a74 | Rounds: 30 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: f576f576f576f576f576f576f576f576 | Rounds: 6 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 41247d7741247d7741247d7741247d77 | Rounds: 30 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: e577e577e577e577e577e577e577e577 | Rounds: 12 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a | Rounds: 1 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b | Rounds: 7 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: e94c617ce94c617ce94c617ce94c617c | Rounds: 28 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 7741247d7741247d7741247d7741247d | Rounds: 30 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e | Rounds: 9 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 80808080808080808080808080808080 | Rounds: 9 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 81818181818181818181818181818181 | Rounds: 7 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 9425e8849425e8849425e8849425e884 | Rounds: 30 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 1f1d0a851f1d0a851f1d0a851f1d0a85 | Rounds: 30 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: da67ab85da67ab85da67ab85da67ab85 | Rounds: 30 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 6fd7148b6fd7148b6fd7148b6fd7148b | Rounds: 30 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 09af3b9409af3b9409af3b9409af3b94 | Rounds: 28 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 25e8849425e8849425e8849425e88494 | Rounds: 30 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 095c7196095c7196095c7196095c7196 | Rounds: 28 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 02acda9a02acda9a02acda9a02acda9a | Rounds: 28 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
