Fixed Point: 513b127d513b127d513b127d513b127d | Rounds: 16 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: f57df57df57df57df57df57df57df57d | Rounds: 31 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e | Rounds: 49 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: ac7eac7eac7eac7eac7eac7eac7eac7e | Rounds: 17 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f | Rounds: 8 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: c08f7385c08f7385c08f7385c08f7385 | Rounds: 3 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 85858585858585858585858585858585 | Rounds: 17 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 86868686868686868686868686868686 | Rounds: 2 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: d286d286d286d286d286d286d286d286 | Rounds: 46 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 87878787878787878787878787878787 | Rounds: 10 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 0291408c0291408c0291408c0291408c | Rounds: 21 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: bbe8e18cbbe8e18cbbe8e18cbbe8e18c | Rounds: 38 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d | Rounds: 27 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: aa8daa8daa8daa8daa8daa8daa8daa8d | Rounds: 22 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 9b8e9b8e9b8e9b8e9b8e9b8e9b8e9b8e | Rounds: 5 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 7385c08f7385c08f7385c08f7385c08f | Rounds: 3 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 90909090909090909090909090909090 | Rounds: 15 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 408c0291408c0291408c0291408c0291 | Rounds: 21 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 92929292929292929292929292929292 | Rounds: 6 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: afd56498afd56498afd56498afd56498 | Rounds: 3 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 99999999999999999999999999999999 | Rounds: 39 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 8e9b8e9b8e9b8e9b8e9b8e9b8e9b8e9b | Rounds: 5 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b | Rounds: 20 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: d89ed89ed89ed89ed89ed89ed89ed89e | Rounds: 35 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f | Rounds: 5 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4 | Rounds: 35 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 68a668a668a668a668a668a668a668a6 | Rounds: 21 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6 | Rounds: 43 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7 | Rounds: 32 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 4cff18aa4cff18aa4cff18aa4cff18aa | Rounds: 11 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 8daa8daa8daa8daa8daa8daa8daa8daa | Rounds: 22 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa | Rounds: 30 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: d7aad7aad7aad7aad7aad7aad7aad7aa | Rounds: 3 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 7eac7eac7eac7eac7eac7eac7eac7eac | Rounds: 17 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: d8acd8acd8acd8acd8acd8acd8acd8ac | Rounds: 31 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 39b078ad39b078ad39b078ad39b078ad | Rounds: 44 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: d56498afd56498afd56498afd56498af | Rounds: 3 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 78ad39b078ad39b078ad39b078ad39b0 | Rounds: 44 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1 | Rounds: 9 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: e8e18cbbe8e18cbbe8e18cbbe8e18cbb | Rounds: 38 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb | Rounds: 20 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 02ee56bc02ee56bc02ee56bc02ee56bc | Rounds: 11 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 64bc64bc64bc64bc64bc64bc64bc64bc | Rounds: 47 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 8f7385c08f7385c08f7385c08f7385c0 | Rounds: 3 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: e4c2e4c2e4c2e4c2e4c2e4c2e4c2e4c2 | Rounds: 36 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5 | Rounds: 34 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6 | Rounds: 48 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 42c742c742c742c742c742c742c742c7 | Rounds: 43 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8 | Rounds: 10 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: cacacacacacacacacacacacacacacaca | Rounds: 11 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: cfcfcfcfcfcfcfcfcfcfcfcfcfcfcfcf | Rounds: 44 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: d9d1d9d1d9d1d9d1d9d1d9d1d9d1d9d1 | Rounds: 15 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 86d286d286d286d286d286d286d286d2 | Rounds: 46 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 6498afd56498afd56498afd56498afd5 | Rounds: 3 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: aad7aad7aad7aad7aad7aad7aad7aad7 | Rounds: 3 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 47d847d847d847d847d847d847d847d8 | Rounds: 38 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
