Fixed Point: 4a2d4a2d4a2d4a2d4a2d4a2d4a2d4a2d | Rounds: 8 | Key: 00000000000000000000000000000000
Fixed Point: 5cc9b92d5cc9b92d5cc9b92d5cc9b92d | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 79837b2f79837b2f79837b2f79837b2f | Rounds: 12 | Key: 00000000000000000000000000000000
Fixed Point: 5627aa2f5627aa2f5627aa2f5627aa2f | Rounds: 4 | Key: 00000000000000000000000000000000
Fixed Point: 8247af2f8247af2f8247af2f8247af2f | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 35303530353035303530353035303530 | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: db31db31db31db31db31db31db31db31 | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: 05320532053205320532053205320532 | Rounds: 21 | Key: 00000000000000000000000000000000
Fixed Point: 32323232323232323232323232323232 | Rounds: 27 | Key: 00000000000000000000000000000000
Fixed Point: f3273b32f3273b32f3273b32f3273b32 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 6c67a7326c67a7326c67a7326c67a732 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 926cc732926cc732926cc732926cc732 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: af56ad33af56ad33af56ad33af56ad33 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 97349734973497349734973497349734 | Rounds: 24 | Key: 00000000000000000000000000000000
Fixed Point: 0112dc340112dc340112dc340112dc34 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: cd850435cd850435cd850435cd850435 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 39b4123539b4123539b4123539b41235 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 30353035303530353035303530353035 | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: 6be6b1356be6b1356be6b1356be6b135 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 12391239123912391239123912391239 | Rounds: 15 | Key: 00000000000000000000000000000000
Fixed Point: b4123539b4123539b4123539b4123539 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: c23ac23ac23ac23ac23ac23ac23ac23a | Rounds: 21 | Key: 00000000000000000000000000000000
Fixed Point: 32f3273b32f3273b32f3273b32f3273b | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 453b453b453b453b453b453b453b453b | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: a93ba93ba93ba93ba93ba93ba93ba93b | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: 076f943c076f943c076f943c076f943c | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: d5ff033dd5ff033dd5ff033dd5ff033d | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 0a3e0a3e0a3e0a3e0a3e0a3e0a3e0a3e | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: 6b5387406b5387406b5387406b538740 | Rounds: 40 | Key: 00000000000000000000000000000000
Fixed Point: 1dc406421dc406421dc406421dc40642 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: d443d443d443d443d443d443d443d443 | Rounds: 15 | Key: 00000000000000000000000000000000
Fixed Point: e344e344e344e344e344e344e344e344 | Rounds: 21 | Key: 00000000000000000000000000000000
Fixed Point: 3b453b453b453b453b453b453b453b45 | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: 45454545454545454545454545454545 | Rounds: 27 | Key: 00000000000000000000000000000000
Fixed Point: f7c5b745f7c5b745f7c5b745f7c5b745 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 47464746474647464746474647464746 | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: e146e146e146e146e146e146e146e146 | Rounds: 21 | Key: 00000000000000000000000000000000
Fixed Point: 46474647464746474647464746474647 | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: af2f8247af2f8247af2f8247af2f8247 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: fe66c948fe66c948fe66c948fe66c948 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: fbfad249fbfad249fbfad249fbfad249 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 2d4a2d4a2d4a2d4a2d4a2d4a2d4a2d4a | Rounds: 8 | Key: 00000000000000000000000000000000
Fixed Point: df0aff4adf0aff4adf0aff4adf0aff4a | Rounds: 40 | Key: 00000000000000000000000000000000
Fixed Point: 86086f4b86086f4b86086f4b86086f4b | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 704b704b704b704b704b704b704b704b | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: 514c514c514c514c514c514c514c514c | Rounds: 21 | Key: 00000000000000000000000000000000
Fixed Point: 1110f54c1110f54c1110f54c1110f54c | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: b4b1024db4b1024db4b1024db4b1024d | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 4f4d4f4d4f4d4f4d4f4d4f4d4f4d4f4d | Rounds: 8 | Key: 00000000000000000000000000000000
Fixed Point: 874d874d874d874d874d874d874d874d | Rounds: 24 | Key: 00000000000000000000000000000000
Fixed Point: bcb47f4ebcb47f4ebcb47f4ebcb47f4e | Rounds: 40 | Key: 00000000000000000000000000000000
Fixed Point: e24ee24ee24ee24ee24ee24ee24ee24e | Rounds: 36 | Key: 00000000000000000000000000000000
