Fixed Point: 062c917a062c917a062c917a062c917a | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: a96d757ba96d757ba96d757ba96d757b | Rounds: 14 | Key: 50505050505050505050505050505050
Fixed Point: c08fb37bc08fb37bc08fb37bc08fb37b | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 4f749f7c4f749f7c4f749f7c4f749f7c | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: bf4c2a7dbf4c2a7dbf4c2a7dbf4c2a7d | Rounds: 40 | Key: 50505050505050505050505050505050
Fixed Point: 3cfa9a7d3cfa9a7d3cfa9a7d3cfa9a7d | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: 08c6037e08c6037e08c6037e08c6037e | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 1420ab7e1420ab7e1420ab7e1420ab7e | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 6d2c327f6d2c327f6d2c327f6d2c327f | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 68d53f8068d53f8068d53f8068d53f80 | Rounds: 40 | Key: 50505050505050505050505050505050
Fixed Point: 776a6380776a6380776a6380776a6380 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 26ad1d8126ad1d8126ad1d8126ad1d81 | Rounds: 14 | Key: 50505050505050505050505050505050
Fixed Point: 81818181818181818181818181818181 | Rounds: 16 | Key: 50505050505050505050505050505050
Fixed Point: 87849881878498818784988187849881 | Rounds: 40 | Key: 50505050505050505050505050505050
Fixed Point: ea82ea82ea82ea82ea82ea82ea82ea82 | Rounds: 32 | Key: 50505050505050505050505050505050
Fixed Point: 98818784988187849881878498818784 | Rounds: 40 | Key: 50505050505050505050505050505050
Fixed Point: 86636685866366858663668586636685 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 52aadd8552aadd8552aadd8552aadd85 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 63668586636685866366858663668586 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: f4034b87f4034b87f4034b87f4034b87 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 5e875e875e875e875e875e875e875e87 | Rounds: 32 | Key: 50505050505050505050505050505050
Fixed Point: 84988187849881878498818784988187 | Rounds: 40 | Key: 50505050505050505050505050505050
Fixed Point: 8a898a898a898a898a898a898a898a89 | Rounds: 32 | Key: 50505050505050505050505050505050
Fixed Point: e189e189e189e189e189e189e189e189 | Rounds: 32 | Key: 50505050505050505050505050505050
Fixed Point: 898a898a898a898a898a898a898a898a | Rounds: 32 | Key: 50505050505050505050505050505050
Fixed Point: d76dec8ad76dec8ad76dec8ad76dec8a | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: ee98ce8bee98ce8bee98ce8bee98ce8b | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: dbae258ddbae258ddbae258ddbae258d | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 3542a68d3542a68d3542a68d3542a68d | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: 8f8f8f8f8f8f8f8f8f8f8f8f8f8f8f8f | Rounds: 16 | Key: 50505050505050505050505050505050
Fixed Point: b37bc08fb37bc08fb37bc08fb37bc08f | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: d4d26c90d4d26c90d4d26c90d4d26c90 | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: 5c79ef905c79ef905c79ef905c79ef90 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 7a062c917a062c917a062c917a062c91 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 34913491349134913491349134913491 | Rounds: 32 | Key: 50505050505050505050505050505050
Fixed Point: ef93ef93ef93ef93ef93ef93ef93ef93 | Rounds: 32 | Key: 50505050505050505050505050505050
Fixed Point: e16c2694e16c2694e16c2694e16c2694 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 00483295004832950048329500483295 | Rounds: 40 | Key: 50505050505050505050505050505050
Fixed Point: d996d996d996d996d996d996d996d996 | Rounds: 32 | Key: 50505050505050505050505050505050
Fixed Point: 97979797979797979797979797979797 | Rounds: 3 | Key: 50505050505050505050505050505050
Fixed Point: 81878498818784988187849881878498 | Rounds: 40 | Key: 50505050505050505050505050505050
Fixed Point: ce8bee98ce8bee98ce8bee98ce8bee98 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 56773199567731995677319956773199 | Rounds: 14 | Key: 50505050505050505050505050505050
Fixed Point: 20d9e69a20d9e69a20d9e69a20d9e69a | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 7d3cfa9a7d3cfa9a7d3cfa9a7d3cfa9a | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: d1a6679bd1a6679bd1a6679bd1a6679b | Rounds: 1 | Key: 50505050505050505050505050505050
Fixed Point: 42d2e19b42d2e19b42d2e19b42d2e19b | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: 004c039c004c039c004c039c004c039c | Rounds: 40 | Key: 50505050505050505050505050505050
Fixed Point: b89db89db89db89db89db89db89db89d | Rounds: 32 | Key: 50505050505050505050505050505050
Fixed Point: 286ba09e286ba09e286ba09e286ba09e | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: d4b1b99ed4b1b99ed4b1b99ed4b1b99e | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 22be469f22be469f22be469f22be469f | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 7c4f749f7c4f749f7c4f749f7c4f749f | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 9e286ba09e286ba09e286ba09e286ba0 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 5dd50aa15dd50aa15dd50aa15dd50aa1 | Rounds: 40 | Key: 50505050505050505050505050505050
Fixed Point: f2b8f7a3f2b8f7a3f2b8f7a3f2b8f7a3 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 8d3542a68d3542a68d3542a68d3542a6 | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: 679bd1a6679bd1a6679bd1a6679bd1a6 | Rounds: 1 | Key: 50505050505050505050505050505050
Fixed Point: 53abe2a653abe2a653abe2a653abe2a6 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 05b1afa705b1afa705b1afa705b1afa7 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 6d04aca86d04aca86d04aca86d04aca8 | Rounds: 14 | Key: 50505050505050505050505050505050
Fixed Point: 27ba77a927ba77a927ba77a927ba77a9 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 6d757ba96d757ba96d757ba96d757ba9 | Rounds: 14 | Key: 50505050505050505050505050505050
Fixed Point: dd8552aadd8552aadd8552aadd8552aa | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 7e1420ab7e1420ab7e1420ab7e1420ab | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: e2a653abe2a653abe2a653abe2a653ab | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 08d975ab08d975ab08d975ab08d975ab | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: a86d04aca86d04aca86d04aca86d04ac | Rounds: 14 | Key: 50505050505050505050505050505050
Fixed Point: cde706adcde706adcde706adcde706ad | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: 1d8126ad1d8126ad1d8126ad1d8126ad | Rounds: 14 | Key: 50505050505050505050505050505050
Fixed Point: 34f9adad34f9adad34f9adad34f9adad | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: b926e6adb926e6adb926e6adb926e6ad | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: ad34f9adad34f9adad34f9adad34f9ad | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: 258ddbae258ddbae258ddbae258ddbae | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 45436aaf45436aaf45436aaf45436aaf | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: a705b1afa705b1afa705b1afa705b1af | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 686741b0686741b0686741b0686741b0 | Rounds: 40 | Key: 50505050505050505050505050505050
Fixed Point: afa705b1afa705b1afa705b1afa705b1 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: b99ed4b1b99ed4b1b99ed4b1b99ed4b1 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 7bc08fb37bc08fb37bc08fb37bc08fb3 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: e5d41bb4e5d41bb4e5d41bb4e5d41bb4 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 0c0522b50c0522b50c0522b50c0522b5 | Rounds: 40 | Key: 50505050505050505050505050505050
Fixed Point: 79ee2eb679ee2eb679ee2eb679ee2eb6 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 11674cb811674cb811674cb811674cb8 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 9db89db89db89db89db89db89db89db8 | Rounds: 32 | Key: 50505050505050505050505050505050
