Fixed Point: 725f725f725f725f725f725f725f725f | Rounds: 49 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 1bd330601bd330601bd330601bd33060 | Rounds: 33 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 99609960996099609960996099609960 | Rounds: 8 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 61616161616161616161616161616161 | Rounds: 20 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 1874f3611874f3611874f3611874f361 | Rounds: 8 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 90135f6290135f6290135f6290135f62 | Rounds: 21 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 63636363636363636363636363636363 | Rounds: 23 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 020cc765020cc765020cc765020cc765 | Rounds: 26 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 16691669166916691669166916691669 | Rounds: 27 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 71697169716971697169716971697169 | Rounds: 3 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b | Rounds: 7 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 8a6e8a6e8a6e8a6e8a6e8a6e8a6e8a6e | Rounds: 44 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 411e2070411e2070411e2070411e2070 | Rounds: 34 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 69716971697169716971697169716971 | Rounds: 3 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
