Fixed Point: 6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e | Rounds: 3 | Key: 18181818181818181818181818181818
Fixed Point: ec6eec6eec6eec6eec6eec6eec6eec6e | Rounds: 25 | Key: 18181818181818181818181818181818
Fixed Point: 3a6f3a6f3a6f3a6f3a6f3a6f3a6f3a6f | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: 71717171717171717171717171717171 | Rounds: 23 | Key: 18181818181818181818181818181818
Fixed Point: 72727272727272727272727272727272 | Rounds: 2 | Key: 18181818181818181818181818181818
Fixed Point: 5f735f735f735f735f735f735f735f73 | Rounds: 25 | Key: 18181818181818181818181818181818
Fixed Point: da73da73da73da73da73da73da73da73 | Rounds: 25 | Key: 18181818181818181818181818181818
Fixed Point: 25742574257425742574257425742574 | Rounds: 25 | Key: 18181818181818181818181818181818
Fixed Point: f475f475f475f475f475f475f475f475 | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: ab76ab76ab76ab76ab76ab76ab76ab76 | Rounds: 25 | Key: 18181818181818181818181818181818
Fixed Point: ca77ca77ca77ca77ca77ca77ca77ca77 | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: a878a878a878a878a878a878a878a878 | Rounds: 25 | Key: 18181818181818181818181818181818
Fixed Point: 9b7a9b7a9b7a9b7a9b7a9b7a9b7a9b7a | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: 2b802b802b802b802b802b802b802b80 | Rounds: 24 | Key: 18181818181818181818181818181818
Fixed Point: a983a983a983a983a983a983a983a983 | Rounds: 24 | Key: 18181818181818181818181818181818
Fixed Point: d083d083d083d083d083d083d083d083 | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: 58845884588458845884588458845884 | Rounds: 24 | Key: 18181818181818181818181818181818
Fixed Point: 32873287328732873287328732873287 | Rounds: 24 | Key: 18181818181818181818181818181818
Fixed Point: 87878787878787878787878787878787 | Rounds: 3 | Key: 18181818181818181818181818181818
Fixed Point: 88888888888888888888888888888888 | Rounds: 23 | Key: 18181818181818181818181818181818
Fixed Point: f3a3c989f3a3c989f3a3c989f3a3c989 | Rounds: 2 | Key: 18181818181818181818181818181818
Fixed Point: b58ab58ab58ab58ab58ab58ab58ab58a | Rounds: 24 | Key: 18181818181818181818181818181818
Fixed Point: 458b458b458b458b458b458b458b458b | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: e38ce38ce38ce38ce38ce38ce38ce38c | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: 66da4c8d66da4c8d66da4c8d66da4c8d | Rounds: 2 | Key: 18181818181818181818181818181818
Fixed Point: 10911091109110911091109110911091 | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: 91919191919191919191919191919191 | Rounds: 23 | Key: 18181818181818181818181818181818
Fixed Point: ad91ad91ad91ad91ad91ad91ad91ad91 | Rounds: 24 | Key: 18181818181818181818181818181818
Fixed Point: ce94ce94ce94ce94ce94ce94ce94ce94 | Rounds: 25 | Key: 18181818181818181818181818181818
Fixed Point: 96969696969696969696969696969696 | Rounds: 23 | Key: 18181818181818181818181818181818
Fixed Point: e396e396e396e396e396e396e396e396 | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: 53975397539753975397539753975397 | Rounds: 20 | Key: 18181818181818181818181818181818
Fixed Point: c997c997c997c997c997c997c997c997 | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: 57995799579957995799579957995799 | Rounds: 24 | Key: 18181818181818181818181818181818
Fixed Point: 99999999999999999999999999999999 | Rounds: 23 | Key: 18181818181818181818181818181818
Fixed Point: 7a9b7a9b7a9b7a9b7a9b7a9b7a9b7a9b | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: 9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b | Rounds: 23 | Key: 18181818181818181818181818181818
Fixed Point: 009d009d009d009d009d009d009d009d | Rounds: 25 | Key: 18181818181818181818181818181818
Fixed Point: 9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e | Rounds: 23 | Key: 18181818181818181818181818181818
Fixed Point: 9f9e9f9e9f9e9f9e9f9e9f9e9f9e9f9e | Rounds: 25 | Key: 18181818181818181818181818181818
Fixed Point: 9e9f9e9f9e9f9e9f9e9f9e9f9e9f9e9f | Rounds: 25 | Key: 18181818181818181818181818181818
Fixed Point: bfa0bfa0bfa0bfa0bfa0bfa0bfa0bfa0 | Rounds: 20 | Key: 18181818181818181818181818181818
Fixed Point: c989f3a3c989f3a3c989f3a3c989f3a3 | Rounds: 2 | Key: 18181818181818181818181818181818
Fixed Point: 3ea43ea43ea43ea43ea43ea43ea43ea4 | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: 0ea50ea50ea50ea50ea50ea50ea50ea5 | Rounds: 25 | Key: 18181818181818181818181818181818
Fixed Point: b1a5b1a5b1a5b1a5b1a5b1a5b1a5b1a5 | Rounds: 24 | Key: 18181818181818181818181818181818
Fixed Point: 28a628a628a628a628a628a628a628a6 | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6 | Rounds: 23 | Key: 18181818181818181818181818181818
Fixed Point: 78a878a878a878a878a878a878a878a8 | Rounds: 25 | Key: 18181818181818181818181818181818
Fixed Point: 83a983a983a983a983a983a983a983a9 | Rounds: 24 | Key: 18181818181818181818181818181818
Fixed Point: 76ab76ab76ab76ab76ab76ab76ab76ab | Rounds: 25 | Key: 18181818181818181818181818181818
Fixed Point: 19ac19ac19ac19ac19ac19ac19ac19ac | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: 91ad91ad91ad91ad91ad91ad91ad91ad | Rounds: 24 | Key: 18181818181818181818181818181818
Fixed Point: a5b1a5b1a5b1a5b1a5b1a5b1a5b1a5b1 | Rounds: 24 | Key: 18181818181818181818181818181818
Fixed Point: dbb2dbb2dbb2dbb2dbb2dbb2dbb2dbb2 | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: 66b366b366b366b366b366b366b366b3 | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: d9b4d9b4d9b4d9b4d9b4d9b4d9b4d9b4 | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: 8ab58ab58ab58ab58ab58ab58ab58ab5 | Rounds: 24 | Key: 18181818181818181818181818181818
Fixed Point: bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb | Rounds: 23 | Key: 18181818181818181818181818181818
Fixed Point: f3bbf3bbf3bbf3bbf3bbf3bbf3bbf3bb | Rounds: 25 | Key: 18181818181818181818181818181818
Fixed Point: 47bc47bc47bc47bc47bc47bc47bc47bc | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: a0bfa0bfa0bfa0bfa0bfa0bfa0bfa0bf | Rounds: 20 | Key: 18181818181818181818181818181818
Fixed Point: 27c027c027c027c027c027c027c027c0 | Rounds: 25 | Key: 18181818181818181818181818181818
Fixed Point: e3c1e3c1e3c1e3c1e3c1e3c1e3c1e3c1 | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: 5cc25cc25cc25cc25cc25cc25cc25cc2 | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: 2dc42dc42dc42dc42dc42dc42dc42dc4 | Rounds: 20 | Key: 18181818181818181818181818181818
Fixed Point: 51c651c651c651c651c651c651c651c6 | Rounds: 25 | Key: 18181818181818181818181818181818
Fixed Point: e0c8e0c8e0c8e0c8e0c8e0c8e0c8e0c8 | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: 97c997c997c997c997c997c997c997c9 | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: 89f3a3c989f3a3c989f3a3c989f3a3c9 | Rounds: 2 | Key: 18181818181818181818181818181818
Fixed Point: d9c9d9c9d9c9d9c9d9c9d9c9d9c9d9c9 | Rounds: 20 | Key: 18181818181818181818181818181818
Fixed Point: 77ca77ca77ca77ca77ca77ca77ca77ca | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: 66cb66cb66cb66cb66cb66cb66cb66cb | Rounds: 25 | Key: 18181818181818181818181818181818
Fixed Point: 53ce53ce53ce53ce53ce53ce53ce53ce | Rounds: 25 | Key: 18181818181818181818181818181818
Fixed Point: 94ce94ce94ce94ce94ce94ce94ce94ce | Rounds: 25 | Key: 18181818181818181818181818181818
Fixed Point: 07d007d007d007d007d007d007d007d0 | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: 83d083d083d083d083d083d083d083d0 | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: 08f813d108f813d108f813d108f813d1 | Rounds: 4 | Key: 18181818181818181818181818181818
Fixed Point: 4bd74bd74bd74bd74bd74bd74bd74bd7 | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7 | Rounds: 3 | Key: 18181818181818181818181818181818
Fixed Point: b4d9b4d9b4d9b4d9b4d9b4d9b4d9b4d9 | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: c9d9c9d9c9d9c9d9c9d9c9d9c9d9c9d9 | Rounds: 20 | Key: 18181818181818181818181818181818
Fixed Point: 4c8d66da4c8d66da4c8d66da4c8d66da | Rounds: 2 | Key: 18181818181818181818181818181818
