Fixed Point: 2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b | Rounds: 27 | Key: 80808080808080808080808080808080
Fixed Point: c9ed8c2dc9ed8c2dc9ed8c2dc9ed8c2d | Rounds: 40 | Key: 80808080808080808080808080808080
Fixed Point: 2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e | Rounds: 44 | Key: 80808080808080808080808080808080
Fixed Point: d6447b2ed6447b2ed6447b2ed6447b2e | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 962e962e962e962e962e962e962e962e | Rounds: 33 | Key: 80808080808080808080808080808080
Fixed Point: 482f482f482f482f482f482f482f482f | Rounds: 33 | Key: 80808080808080808080808080808080
Fixed Point: 572f572f572f572f572f572f572f572f | Rounds: 17 | Key: 80808080808080808080808080808080
Fixed Point: e4d65830e4d65830e4d65830e4d65830 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: dd31dd31dd31dd31dd31dd31dd31dd31 | Rounds: 35 | Key: 80808080808080808080808080808080
Fixed Point: 01921733019217330192173301921733 | Rounds: 8 | Key: 80808080808080808080808080808080
Fixed Point: 33333333333333333333333333333333 | Rounds: 44 | Key: 80808080808080808080808080808080
Fixed Point: 90339033903390339033903390339033 | Rounds: 33 | Key: 80808080808080808080808080808080
Fixed Point: 34343434343434343434343434343434 | Rounds: 3 | Key: 80808080808080808080808080808080
Fixed Point: 4a344a344a344a344a344a344a344a34 | Rounds: 35 | Key: 80808080808080808080808080808080
Fixed Point: 35353535353535353535353535353535 | Rounds: 44 | Key: 80808080808080808080808080808080
Fixed Point: c335c335c335c335c335c335c335c335 | Rounds: 35 | Key: 80808080808080808080808080808080
Fixed Point: ed35ed35ed35ed35ed35ed35ed35ed35 | Rounds: 20 | Key: 80808080808080808080808080808080
Fixed Point: 98160e3698160e3698160e3698160e36 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 36363636363636363636363636363636 | Rounds: 44 | Key: 80808080808080808080808080808080
Fixed Point: a337a337a337a337a337a337a337a337 | Rounds: 33 | Key: 80808080808080808080808080808080
Fixed Point: b737b737b737b737b737b737b737b737 | Rounds: 33 | Key: 80808080808080808080808080808080
Fixed Point: 38383838383838383838383838383838 | Rounds: 44 | Key: 80808080808080808080808080808080
Fixed Point: e7c56538e7c56538e7c56538e7c56538 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: c738c738c738c738c738c738c738c738 | Rounds: 35 | Key: 80808080808080808080808080808080
Fixed Point: 26392639263926392639263926392639 | Rounds: 33 | Key: 80808080808080808080808080808080
Fixed Point: 8d3c8d3c8d3c8d3c8d3c8d3c8d3c8d3c | Rounds: 35 | Key: 80808080808080808080808080808080
Fixed Point: 843d843d843d843d843d843d843d843d | Rounds: 17 | Key: 80808080808080808080808080808080
Fixed Point: a4c7af3da4c7af3da4c7af3da4c7af3d | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: be3ebe3ebe3ebe3ebe3ebe3ebe3ebe3e | Rounds: 17 | Key: 80808080808080808080808080808080
Fixed Point: 40404040404040404040404040404040 | Rounds: 44 | Key: 80808080808080808080808080808080
Fixed Point: e040e040e040e040e040e040e040e040 | Rounds: 33 | Key: 80808080808080808080808080808080
Fixed Point: 41414141414141414141414141414141 | Rounds: 7 | Key: 80808080808080808080808080808080
Fixed Point: 70417041704170417041704170417041 | Rounds: 20 | Key: 80808080808080808080808080808080
Fixed Point: 8b418b418b418b418b418b418b418b41 | Rounds: 17 | Key: 80808080808080808080808080808080
Fixed Point: aa42aa42aa42aa42aa42aa42aa42aa42 | Rounds: 33 | Key: 80808080808080808080808080808080
Fixed Point: f842f842f842f842f842f842f842f842 | Rounds: 35 | Key: 80808080808080808080808080808080
Fixed Point: 43434343434343434343434343434343 | Rounds: 44 | Key: 80808080808080808080808080808080
Fixed Point: a643a643a643a643a643a643a643a643 | Rounds: 33 | Key: 80808080808080808080808080808080
Fixed Point: a5844944a5844944a5844944a5844944 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 7b2ed6447b2ed6447b2ed6447b2ed644 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: d944d944d944d944d944d944d944d944 | Rounds: 20 | Key: 80808080808080808080808080808080
Fixed Point: 20b3594520b3594520b3594520b35945 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 184db445184db445184db445184db445 | Rounds: 8 | Key: 80808080808080808080808080808080
Fixed Point: 46464646464646464646464646464646 | Rounds: 44 | Key: 80808080808080808080808080808080
Fixed Point: 85468546854685468546854685468546 | Rounds: 10 | Key: 80808080808080808080808080808080
Fixed Point: a6cdb646a6cdb646a6cdb646a6cdb646 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 09470947094709470947094709470947 | Rounds: 17 | Key: 80808080808080808080808080808080
Fixed Point: 2ae2bb472ae2bb472ae2bb472ae2bb47 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 2f482f482f482f482f482f482f482f48 | Rounds: 33 | Key: 80808080808080808080808080808080
Fixed Point: 48484848484848484848484848484848 | Rounds: 44 | Key: 80808080808080808080808080808080
Fixed Point: ab085148ab085148ab085148ab085148 | Rounds: 40 | Key: 80808080808080808080808080808080
Fixed Point: 8b488b488b488b488b488b488b488b48 | Rounds: 20 | Key: 80808080808080808080808080808080
Fixed Point: 7d0e62497d0e62497d0e62497d0e6249 | Rounds: 40 | Key: 80808080808080808080808080808080
Fixed Point: 82be6d4982be6d4982be6d4982be6d49 | Rounds: 40 | Key: 80808080808080808080808080808080
Fixed Point: 44a5844944a5844944a5844944a58449 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: b049b049b049b049b049b049b049b049 | Rounds: 3 | Key: 80808080808080808080808080808080
Fixed Point: e849e849e849e849e849e849e849e849 | Rounds: 33 | Key: 80808080808080808080808080808080
Fixed Point: 014a014a014a014a014a014a014a014a | Rounds: 17 | Key: 80808080808080808080808080808080
Fixed Point: 344a344a344a344a344a344a344a344a | Rounds: 35 | Key: 80808080808080808080808080808080
Fixed Point: 127cd94a127cd94a127cd94a127cd94a | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b | Rounds: 44 | Key: 80808080808080808080808080808080
Fixed Point: 4d4b4d4b4d4b4d4b4d4b4d4b4d4b4d4b | Rounds: 35 | Key: 80808080808080808080808080808080
Fixed Point: b8272a4cb8272a4cb8272a4cb8272a4c | Rounds: 40 | Key: 80808080808080808080808080808080
Fixed Point: 4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c | Rounds: 44 | Key: 80808080808080808080808080808080
Fixed Point: 7c4c7c4c7c4c7c4c7c4c7c4c7c4c7c4c | Rounds: 35 | Key: 80808080808080808080808080808080
Fixed Point: 6bab004d6bab004d6bab004d6bab004d | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 024d024d024d024d024d024d024d024d | Rounds: 2 | Key: 80808080808080808080808080808080
Fixed Point: b445184db445184db445184db445184d | Rounds: 8 | Key: 80808080808080808080808080808080
Fixed Point: 4b4d4b4d4b4d4b4d4b4d4b4d4b4d4b4d | Rounds: 35 | Key: 80808080808080808080808080808080
Fixed Point: 6e82d84d6e82d84d6e82d84d6e82d84d | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e | Rounds: 27 | Key: 80808080808080808080808080808080
Fixed Point: 7c4f7c4f7c4f7c4f7c4f7c4f7c4f7c4f | Rounds: 33 | Key: 80808080808080808080808080808080
Fixed Point: db728a4fdb728a4fdb728a4fdb728a4f | Rounds: 40 | Key: 80808080808080808080808080808080
Fixed Point: b64fb64fb64fb64fb64fb64fb64fb64f | Rounds: 17 | Key: 80808080808080808080808080808080
Fixed Point: b6aa0f50b6aa0f50b6aa0f50b6aa0f50 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 50505050505050505050505050505050 | Rounds: 27 | Key: 80808080808080808080808080808080
Fixed Point: c450c450c450c450c450c450c450c450 | Rounds: 2 | Key: 80808080808080808080808080808080
Fixed Point: d15dee50d15dee50d15dee50d15dee50 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: edfe0151edfe0151edfe0151edfe0151 | Rounds: 4 | Key: 80808080808080808080808080808080
Fixed Point: 48ab085148ab085148ab085148ab0851 | Rounds: 40 | Key: 80808080808080808080808080808080
Fixed Point: 51515151515151515151515151515151 | Rounds: 1 | Key: 80808080808080808080808080808080
Fixed Point: a351a351a351a351a351a351a351a351 | Rounds: 35 | Key: 80808080808080808080808080808080
Fixed Point: dae05252dae05252dae05252dae05252 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: e39a8f52e39a8f52e39a8f52e39a8f52 | Rounds: 40 | Key: 80808080808080808080808080808080
Fixed Point: 93529352935293529352935293529352 | Rounds: 35 | Key: 80808080808080808080808080808080
Fixed Point: 52dae05252dae05252dae05252dae052 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 0d5700530d5700530d5700530d570053 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 53535353535353535353535353535353 | Rounds: 44 | Key: 80808080808080808080808080808080
Fixed Point: a753a753a753a753a753a753a753a753 | Rounds: 33 | Key: 80808080808080808080808080808080
Fixed Point: 19541954195419541954195419541954 | Rounds: 33 | Key: 80808080808080808080808080808080
Fixed Point: 54545454545454545454545454545454 | Rounds: 27 | Key: 80808080808080808080808080808080
Fixed Point: 83548354835483548354835483548354 | Rounds: 17 | Key: 80808080808080808080808080808080
Fixed Point: e554e554e554e554e554e554e554e554 | Rounds: 3 | Key: 80808080808080808080808080808080
Fixed Point: a9e61b56a9e61b56a9e61b56a9e61b56 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 00530d5700530d5700530d5700530d57 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 2f572f572f572f572f572f572f572f57 | Rounds: 17 | Key: 80808080808080808080808080808080
Fixed Point: e257e257e257e257e257e257e257e257 | Rounds: 10 | Key: 80808080808080808080808080808080
Fixed Point: bb858f58bb858f58bb858f58bb858f58 | Rounds: 40 | Key: 80808080808080808080808080808080
Fixed Point: 30e4d65830e4d65830e4d65830e4d658 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 7d65dd587d65dd587d65dd587d65dd58 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 59595959595959595959595959595959 | Rounds: 44 | Key: 80808080808080808080808080808080
Fixed Point: a559a559a559a559a559a559a559a559 | Rounds: 35 | Key: 80808080808080808080808080808080
Fixed Point: a759a759a759a759a759a759a759a759 | Rounds: 35 | Key: 80808080808080808080808080808080
Fixed Point: 4520b3594520b3594520b3594520b359 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: f059f059f059f059f059f059f059f059 | Rounds: 10 | Key: 80808080808080808080808080808080
Fixed Point: 7b5a7b5a7b5a7b5a7b5a7b5a7b5a7b5a | Rounds: 35 | Key: 80808080808080808080808080808080
Fixed Point: 8e5a8e5a8e5a8e5a8e5a8e5a8e5a8e5a | Rounds: 33 | Key: 80808080808080808080808080808080
Fixed Point: 5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b | Rounds: 27 | Key: 80808080808080808080808080808080
Fixed Point: 965b965b965b965b965b965b965b965b | Rounds: 10 | Key: 80808080808080808080808080808080
Fixed Point: 1b5c1b5c1b5c1b5c1b5c1b5c1b5c1b5c | Rounds: 33 | Key: 80808080808080808080808080808080
Fixed Point: a45ca45ca45ca45ca45ca45ca45ca45c | Rounds: 35 | Key: 80808080808080808080808080808080
Fixed Point: d65cd65cd65cd65cd65cd65cd65cd65c | Rounds: 2 | Key: 80808080808080808080808080808080
Fixed Point: 5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d | Rounds: 27 | Key: 80808080808080808080808080808080
Fixed Point: ee50d15dee50d15dee50d15dee50d15d | Rounds: 31 | Key: 80808080808080808080808080808080
