Fixed Point: 23692369236923692369236923692369 | Rounds: 22 | Key: 48484848484848484848484848484848
Fixed Point: 72697269726972697269726972697269 | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 8e698e698e698e698e698e698e698e69 | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: d669d669d669d669d669d669d669d669 | Rounds: 22 | Key: 48484848484848484848484848484848
Fixed Point: f369f369f369f369f369f369f369f369 | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 14b62f6a14b62f6a14b62f6a14b62f6a | Rounds: 24 | Key: 48484848484848484848484848484848
Fixed Point: 8a6a8a6a8a6a8a6a8a6a8a6a8a6a8a6a | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: b46ab46ab46ab46ab46ab46ab46ab46a | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 926b926b926b926b926b926b926b926b | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 606c606c606c606c606c606c606c606c | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 086d086d086d086d086d086d086d086d | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 486d486d486d486d486d486d486d486d | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: d96dd96dd96dd96dd96dd96dd96dd96d | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e | Rounds: 35 | Key: 48484848484848484848484848484848
Fixed Point: de2c9b6ede2c9b6ede2c9b6ede2c9b6e | Rounds: 24 | Key: 48484848484848484848484848484848
Fixed Point: 666f666f666f666f666f666f666f666f | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f | Rounds: 8 | Key: 48484848484848484848484848484848
Fixed Point: 69726972697269726972697269726972 | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 49734973497349734973497349734973 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: 93739373937393739373937393739373 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: f874f874f874f874f874f874f874f874 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: 14751475147514751475147514751475 | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: b475b475b475b475b475b475b475b475 | Rounds: 22 | Key: 48484848484848484848484848484848
Fixed Point: 4502be754502be754502be754502be75 | Rounds: 12 | Key: 48484848484848484848484848484848
Fixed Point: 8c768c768c768c768c768c768c768c76 | Rounds: 26 | Key: 48484848484848484848484848484848
