Fixed Point: f27e03b5f27e03b5f27e03b5f27e03b5 | Rounds: 24 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6 | Rounds: 17 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 604731b7604731b7604731b7604731b7 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: ce2278bbce2278bbce2278bbce2278bb | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd | Rounds: 5 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: fd96c8bdfd96c8bdfd96c8bdfd96c8bd | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 2743d4bd2743d4bd2743d4bd2743d4bd | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 0d5cf5c00d5cf5c00d5cf5c00d5cf5c0 | Rounds: 24 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: dcc1dcc1dcc1dcc1dcc1dcc1dcc1dcc1 | Rounds: 6 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2 | Rounds: 5 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 298e39c8298e39c8298e39c8298e39c8 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: bdfd96c8bdfd96c8bdfd96c8bdfd96c8 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8 | Rounds: 17 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: f28754cbf28754cbf28754cbf28754cb | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 1099d0cb1099d0cb1099d0cb1099d0cb | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 2278bbce2278bbce2278bbce2278bbce | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: cb1099d0cb1099d0cb1099d0cb1099d0 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0 | Rounds: 17 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: bd2743d4bd2743d4bd2743d4bd2743d4 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 127e98d7127e98d7127e98d7127e98d7 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7 | Rounds: 17 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
