Fixed Point: 9b659b659b659b659b659b659b659b65 | Rounds: 6 | Key: 08080808080808080808080808080808
Fixed Point: f865f865f865f865f865f865f865f865 | Rounds: 2 | Key: 08080808080808080808080808080808
Fixed Point: 4952e4684952e4684952e4684952e468 | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: 69696969696969696969696969696969 | Rounds: 12 | Key: 08080808080808080808080808080808
Fixed Point: 29c7f96b29c7f96b29c7f96b29c7f96b | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 8cff836c8cff836c8cff836c8cff836c | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: 6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d | Rounds: 19 | Key: 08080808080808080808080808080808
Fixed Point: 6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e | Rounds: 19 | Key: 08080808080808080808080808080808
Fixed Point: 3e40d5713e40d5713e40d5713e40d571 | Rounds: 6 | Key: 08080808080808080808080808080808
Fixed Point: 75757575757575757575757575757575 | Rounds: 11 | Key: 08080808080808080808080808080808
Fixed Point: f575f575f575f575f575f575f575f575 | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: cc77cc77cc77cc77cc77cc77cc77cc77 | Rounds: 6 | Key: 08080808080808080808080808080808
Fixed Point: 78787878787878787878787878787878 | Rounds: 19 | Key: 08080808080808080808080808080808
Fixed Point: 79797979797979797979797979797979 | Rounds: 4 | Key: 08080808080808080808080808080808
Fixed Point: dcc3f279dcc3f279dcc3f279dcc3f279 | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: da90647bda90647bda90647bda90647b | Rounds: 2 | Key: 08080808080808080808080808080808
Fixed Point: 7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d | Rounds: 12 | Key: 08080808080808080808080808080808
Fixed Point: 80808080808080808080808080808080 | Rounds: 19 | Key: 08080808080808080808080808080808
Fixed Point: b180b180b180b180b180b180b180b180 | Rounds: 6 | Key: 08080808080808080808080808080808
Fixed Point: bb81bb81bb81bb81bb81bb81bb81bb81 | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: 6c8cff836c8cff836c8cff836c8cff83 | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: 8f4453848f4453848f4453848f445384 | Rounds: 6 | Key: 08080808080808080808080808080808
Fixed Point: 0b58a3840b58a3840b58a3840b58a384 | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: 86eabf8486eabf8486eabf8486eabf84 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 56855685568556855685568556855685 | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: 85858585858585858585858585858585 | Rounds: 19 | Key: 08080808080808080808080808080808
Fixed Point: eabf8486eabf8486eabf8486eabf8486 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: ca86ca86ca86ca86ca86ca86ca86ca86 | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: 100f3687100f3687100f3687100f3687 | Rounds: 4 | Key: 08080808080808080808080808080808
Fixed Point: c5a34e87c5a34e87c5a34e87c5a34e87 | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: ec8bec8bec8bec8bec8bec8bec8bec8b | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: ff836c8cff836c8cff836c8cff836c8c | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: cffa108ecffa108ecffa108ecffa108e | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: 408e408e408e408e408e408e408e408e | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: ae9afc8eae9afc8eae9afc8eae9afc8e | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 4453848f4453848f4453848f4453848f | Rounds: 6 | Key: 08080808080808080808080808080808
Fixed Point: 647bda90647bda90647bda90647bda90 | Rounds: 2 | Key: 08080808080808080808080808080808
Fixed Point: cc0e4b92cc0e4b92cc0e4b92cc0e4b92 | Rounds: 6 | Key: 08080808080808080808080808080808
Fixed Point: 94949494949494949494949494949494 | Rounds: 11 | Key: 08080808080808080808080808080808
Fixed Point: 65956595659565956595659565956595 | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: 95959595959595959595959595959595 | Rounds: 11 | Key: 08080808080808080808080808080808
Fixed Point: 97979797979797979797979797979797 | Rounds: 19 | Key: 08080808080808080808080808080808
Fixed Point: 304c3299304c3299304c3299304c3299 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 249a249a249a249a249a249a249a249a | Rounds: 6 | Key: 08080808080808080808080808080808
Fixed Point: fc8eae9afc8eae9afc8eae9afc8eae9a | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 659b659b659b659b659b659b659b659b | Rounds: 6 | Key: 08080808080808080808080808080808
Fixed Point: 9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b | Rounds: 11 | Key: 08080808080808080808080808080808
Fixed Point: 24ff3e9f24ff3e9f24ff3e9f24ff3e9f | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f | Rounds: 19 | Key: 08080808080808080808080808080808
Fixed Point: bb9fbb9fbb9fbb9fbb9fbb9fbb9fbb9f | Rounds: 6 | Key: 08080808080808080808080808080808
Fixed Point: 550405a1550405a1550405a1550405a1 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 4f3960a24f3960a24f3960a24f3960a2 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 840b58a3840b58a3840b58a3840b58a3 | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: 4e87c5a34e87c5a34e87c5a34e87c5a3 | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: 35a535a535a535a535a535a535a535a5 | Rounds: 2 | Key: 08080808080808080808080808080808
Fixed Point: 52cd2ea652cd2ea652cd2ea652cd2ea6 | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6 | Rounds: 4 | Key: 08080808080808080808080808080808
Fixed Point: 28b7f5a628b7f5a628b7f5a628b7f5a6 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9 | Rounds: 12 | Key: 08080808080808080808080808080808
Fixed Point: b5b6bcabb5b6bcabb5b6bcabb5b6bcab | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: 9afc8eae9afc8eae9afc8eae9afc8eae | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: aeaeaeaeaeaeaeaeaeaeaeaeaeaeaeae | Rounds: 19 | Key: 08080808080808080808080808080808
Fixed Point: f7aef7aef7aef7aef7aef7aef7aef7ae | Rounds: 6 | Key: 08080808080808080808080808080808
Fixed Point: 80b180b180b180b180b180b180b180b1 | Rounds: 6 | Key: 08080808080808080808080808080808
Fixed Point: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1 | Rounds: 12 | Key: 08080808080808080808080808080808
Fixed Point: b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2 | Rounds: 12 | Key: 08080808080808080808080808080808
Fixed Point: b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4 | Rounds: 19 | Key: 08080808080808080808080808080808
Fixed Point: b6bcabb5b6bcabb5b6bcabb5b6bcabb5 | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: bcabb5b6bcabb5b6bcabb5b6bcabb5b6 | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: d54ac9b6d54ac9b6d54ac9b6d54ac9b6 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: f5a628b7f5a628b7f5a628b7f5a628b7 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 39b739b739b739b739b739b739b739b7 | Rounds: 6 | Key: 08080808080808080808080808080808
Fixed Point: 55b855b855b855b855b855b855b855b8 | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: 5ce721ba5ce721ba5ce721ba5ce721ba | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 4462f2ba4462f2ba4462f2ba4462f2ba | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: ccc11ebbccc11ebbccc11ebbccc11ebb | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: 81bb81bb81bb81bb81bb81bb81bb81bb | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: 9fbb9fbb9fbb9fbb9fbb9fbb9fbb9fbb | Rounds: 6 | Key: 08080808080808080808080808080808
Fixed Point: bfbbbfbbbfbbbfbbbfbbbfbbbfbbbfbb | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: abb5b6bcabb5b6bcabb5b6bcabb5b6bc | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: bcbcbcbcbcbcbcbcbcbcbcbcbcbcbcbc | Rounds: 19 | Key: 08080808080808080808080808080808
Fixed Point: bebebebebebebebebebebebebebebebe | Rounds: 4 | Key: 08080808080808080808080808080808
